# QT Clean v2 real-person names from Wikidata structured data (CC0-1.0)
# Format: source<TAB>Vietnamese/Latin target<TAB>type<TAB>provenance
大場鶇	Tsugumi Ohba	person_name_japanese	wikidata:Q558858:japan
大塚愛	Ai Otsuka	person_name_japanese	wikidata:Q231479:japan
大塚爱	Ai Otsuka	person_name_japanese	wikidata:Q231479:japan
大岛洋平	Yohei Oshima	person_name_japanese	wikidata:Q181412:japan
大岛渚	Nagisa Ōshima	person_name_japanese	wikidata:Q55403:japan
大岛理森	Tadamori Ōshima	person_name_japanese	wikidata:Q49998:japan
大島洋平	Yohei Oshima	person_name_japanese	wikidata:Q181412:japan
大島渚	Nagisa Ōshima	person_name_japanese	wikidata:Q55403:japan
大島理森	Tadamori Ōshima	person_name_japanese	wikidata:Q49998:japan
大庭美奈子	Minako Ōba	person_name_japanese	wikidata:Q456191:japan
大後壽壽花	Suzuka Ohgo	person_name_japanese	wikidata:Q259428:japan
大暮維人	Oh! great	person_name_japanese	wikidata:Q553105:japan
大暮维人	Oh! great	person_name_japanese	wikidata:Q553105:japan
大正天皇	Emperor Taishō	person_name_japanese	wikidata:Q157052:japan
大江健三郎	Kenzaburō Ōe	person_name_japanese	wikidata:Q80095:japan
大浦安娜	Anna Ōura	person_name_japanese	wikidata:Q35400:japan
大菅小百合	Sayuri Osuga	person_name_japanese	wikidata:Q165476:japan
天知茂	Shigeru Amachi	person_name_japanese	wikidata:Q128154:japan
如月羣真	Gunma Kisaragi	person_name_japanese	wikidata:Q550875:japan
如月群真	Gunma Kisaragi	person_name_japanese	wikidata:Q550875:japan
妙义龙泰成	Myōgiryū Yasunari	person_name_japanese	wikidata:Q254063:japan
妙義龍泰成	Myōgiryū Yasunari	person_name_japanese	wikidata:Q254063:japan
妹岛和世	Kazuyo Sejima	person_name_japanese	wikidata:Q253350:japan
妹島和世	Kazuyo Sejima	person_name_japanese	wikidata:Q253350:japan
守邦亲王	Prince Morikuni	person_name_japanese	wikidata:Q552852:japan
守邦親王	Prince Morikuni	person_name_japanese	wikidata:Q552852:japan
安东尼奥·猪木	Antonio Inoki	person_name_japanese	wikidata:Q45207:japan
安住淳	Jun Azumi	person_name_japanese	wikidata:Q212400:japan
安倍圭子	Keiko Abe	person_name_japanese	wikidata:Q253686:japan
安倍昭惠	Akie Abe	person_name_japanese	wikidata:Q73358:japan
安倍晉三	Shinzō Abe	person_name_japanese	wikidata:Q132345:japan
安倍晋三	Shinzō Abe	person_name_japanese	wikidata:Q132345:japan
安原成泰	Nariyasu Yasuhara	person_name_japanese	wikidata:Q47363:japan
安東尼奧·豬木	Antonio Inoki	person_name_japanese	wikidata:Q45207:japan
安田理大	Michihiro Yasuda	person_name_japanese	wikidata:Q76955:japan
安艺乃海节男	Setsuo Akinoumi	person_name_japanese	wikidata:Q81763:japan
安藝乃海節男	Setsuo Akinoumi	person_name_japanese	wikidata:Q81763:japan
安藤利吉	Rikichi Andō	person_name_japanese	wikidata:Q203012:japan
安藤忠雄	Tadao Ando	person_name_japanese	wikidata:Q208220:japan
安部公房	Kōbō Abe	person_name_japanese	wikidata:Q186273:japan
安野夢洋子	Moyoco Anno	person_name_japanese	wikidata:Q38842:japan
安野梦洋子	Moyoco Anno	person_name_japanese	wikidata:Q38842:japan
室伏广治	Koji Murofushi	person_name_japanese	wikidata:Q1784:japan
室伏廣治	Koji Murofushi	person_name_japanese	wikidata:Q1784:japan
宫下顺子	Junko Miyashita	person_name_japanese	wikidata:Q456244:japan
宫城奈奈	Nana Smith	person_name_japanese	wikidata:Q457435:japan
宫城长顺	Chōjun Miyagi	person_name_japanese	wikidata:Q221121:japan
宫崎安贞	Miyazaki Yasusada	person_name_japanese	wikidata:Q551135:japan
宫崎繁三郎	Shigezaburō Miyazaki	person_name_japanese	wikidata:Q28284:japan
宫崎葵	Aoi Miyazaki	person_name_japanese	wikidata:Q253873:japan
宫崎骏	Hayao Miyazaki	person_name_japanese	wikidata:Q55400:japan
宫本茂	Shigeru Miyamoto	person_name_japanese	wikidata:Q12382:japan
宫本辉	Teru Miyamoto	person_name_japanese	wikidata:Q554484:japan
宫泽贤治	Kenji Miyazawa	person_name_japanese	wikidata:Q55993:japan
宮下順子	Junko Miyashita	person_name_japanese	wikidata:Q456244:japan
宮城奈奈	Nana Smith	person_name_japanese	wikidata:Q457435:japan
宮城長順	Chōjun Miyagi	person_name_japanese	wikidata:Q221121:japan
